sigma,kappa,reference,input_rate,run,consensus_tps,consensus_latency_ms
1,2,4,100000,1,91360,1151
1,2,4,100000,2,90605,1144
1,2,4,100000,3,91331,1184
1,3,4,100000,2,95114,1334
1,3,4,100000,3,93071,1330
1,4,4,100000,1,92214,1399
1,4,4,100000,2,94199,1406
1,4,4,100000,3,92993,1403
1,2,7,100000,1,90913,1171
1,2,7,100000,2,90887,1144
1,2,7,100000,3,91587,1196
1,3,7,100000,1,92090,1361
1,3,7,100000,2,92193,1369
1,3,7,100000,3,94000,1386
1,4,7,100000,1,93869,1709
1,4,7,100000,2,93763,1688
1,4,7,100000,3,93199,1672
1,2,10,100000,1,91120,1172
1,2,10,100000,2,91302,1175
1,2,10,100000,3,91544,1176
1,3,10,100000,1,93553,1351
1,3,10,100000,2,93599,1334
1,3,10,100000,3,92685,1356
1,4,10,100000,1,92866,1585
1,4,10,100000,2,93428,1627
1,4,10,100000,3,93164,1621
2,2,4,100000,1,91841,1029
2,2,4,100000,2,91332,1007
2,2,4,100000,3,91451,997
2,3,4,100000,1,92369,1056
2,3,4,100000,2,93020,1048
2,3,4,100000,3,93310,1030
2,4,4,100000,1,92881,1195
2,4,4,100000,2,95124,1193
2,4,4,100000,3,96952,1209
2,2,7,100000,1,92591,1023
2,2,7,100000,2,93186,1055
2,2,7,100000,3,92888,1049
2,3,7,100000,1,92917,1150
2,3,7,100000,2,94105,1175
2,3,7,100000,3,93000,1186
2,4,7,100000,1,93456,1424
2,4,7,100000,2,96575,1444
2,4,7,100000,3,93041,1425
2,2,10,100000,1,91436,1107
2,2,10,100000,2,94649,1156
2,2,10,100000,3,91449,1116
2,3,10,100000,1,94108,1234
2,3,10,100000,2,92862,1239
2,3,10,100000,3,92891,1232
2,4,10,100000,1,94968,1387
2,4,10,100000,2,95079,1388
2,4,10,100000,3,92824,1373
