protocol,input_rate,mean_consensus_tps,std_consensus_tps,mean_consensus_latency_ms,std_consensus_latency_ms,runs
Chitu,40000,38881.0,519.02,821.5,164.76,2
Chitu,60000,58948.5,1263.6,849.5,99.7,2
Chitu,80000,79063.0,465.28,917.5,163.34,2
Chitu,100000,99741.5,224.15,896.0,7.07,2
Chitu,120000,98583.5,357.09,3318.0,446.89,2
Chitu,140000,107246.5,21287.45,5567.5,6787.52,2
DAG-Rider,40000,38355.5,122.33,1852.5,19.09,2
DAG-Rider,60000,57368.5,197.28,1836.5,9.19,2
DAG-Rider,80000,76261.5,861.96,1846.0,7.07,2
DAG-Rider,100000,93043.5,1054.3,1834.0,4.24,2
DAG-Rider,120000,106800.0,349.31,2130.5,62.93,2
DAG-Rider,140000,82967.5,3335.42,10077.5,2103.64,2
Mahi-Mahi,40000,39809.0,50.91,1161.0,106.07,2
Mahi-Mahi,60000,59785.0,59.4,1099.5,9.19,2
Mahi-Mahi,80000,78317.5,1943.84,1084.0,9.9,2
Mahi-Mahi,100000,98779.0,862.67,1109.0,28.28,2
Mahi-Mahi,120000,104164.0,1787.57,1922.5,437.7,2
Mahi-Mahi,140000,97851.5,600.33,9985.5,1470.07,2
Manta,40000,34852.0,148.49,630.0,0.0,2
Manta,60000,49112.0,420.02,528.0,2.83,2
Manta,80000,65941.0,132.94,555.5,2.12,2
Manta,100000,82308.5,195.87,561.0,4.24,2
Manta,110000,91953.5,4044.39,535.5,35.82,4
Manta,120000,105669.0,4620.24,707.0,70.71,2
Manta,130000,97835.5,1542.2,3358.5,92.63,2
Manta,140000,94516.5,2987.53,8304.5,750.24,2
Tusk,40000,36089.0,0.0,1491.0,0.0,1
Tusk,60000,54216.5,837.92,1525.5,112.43,2
Tusk,80000,73451.0,920.65,1498.5,94.05,2
Tusk,100000,91013.0,329.51,1518.5,14.85,2
Tusk,120000,96194.0,7949.29,2968.0,817.42,2
Tusk,140000,88488.0,731.15,10449.0,243.24,2
